date,trip_count
2021-10-24,13548
2021-10-25,6257
2021-10-26,5402
2021-10-27,4741
2021-10-28,10429
2021-10-29,11127
2021-10-30,6504
2021-10-31,10823
2021-11-01,10822
2021-11-02,10928
2021-11-03,10897
2021-11-04,10307
2021-11-05,10488
2021-11-06,10796
2021-11-07,9746
2021-11-08,9419
2021-11-09,11124
2021-11-10,11387
2021-11-11,10760
2021-11-12,5872
2021-11-13,11095
2021-11-14,8613
2021-11-15,8052
2021-11-16,8650
2021-11-17,8878
2021-11-18,11164
2021-11-19,9452
2021-11-20,8052
2021-11-21,7661
2021-11-22,6534
2021-11-23,6703
2021-11-24,5403
2021-11-25,3748
2021-11-26,2799
2021-11-27,3439
2021-11-28,3854
2021-11-29,5624
2021-11-30,6471
2021-12-01,7238
2021-12-02,7501
2021-12-03,7267
2021-12-04,6897
2021-12-05,6696
2021-12-06,6452
2021-12-07,5358
2021-12-08,6281
2021-12-09,5422
2021-12-10,6510
2021-12-11,4638
2021-12-12,6004
2021-12-13,6051
2021-12-14,6667
2021-12-15,6163
2021-12-16,6131
2021-12-17,7340
2021-12-18,3517
2021-12-19,2376
2021-12-20,3065
2021-12-21,3772
2021-12-22,2818
2021-12-23,2562
2021-12-24,1399
2021-12-25,463
2021-12-26,1382
2021-12-27,2165
2021-12-28,2390
2021-12-29,2837
2021-12-30,2169
2021-12-31,2712
2022-01-01,2075
2022-01-02,1923
2022-01-03,2600
2022-01-04,2662
2022-01-05,2599
2022-01-06,3520
2022-01-07,1087
2022-01-08,1438
2022-01-09,1659
2022-01-10,2603
2022-01-11,1666
2022-01-12,2609
2022-01-13,3887
2022-01-14,3640
2022-01-15,1510
2022-01-16,1769
2022-01-17,2245
2022-01-18,3145
2022-01-19,3945
2022-01-20,3566
2022-01-21,3061
2022-01-22,2682
2022-01-23,2947
2022-01-24,3360
2022-01-25,4092
2022-01-26,3903
2022-01-27,3537
2022-01-28,4541
2022-01-29,838
2022-01-30,0
2022-01-31,1929
2022-02-01,2915
2022-02-02,3830
2022-02-03,3639
2022-02-04,1548
2022-02-05,1698
2022-02-06,2284
2022-02-07,3193
2022-02-08,3860
2022-02-09,5024
2022-02-10,5409
2022-02-11,5954
2022-02-12,7642
2022-02-13,2211
2022-02-14,2600
2022-02-15,3409
2022-02-16,4519
2022-02-17,6299
2022-02-18,5028
2022-02-19,3736
2022-02-20,3227
2022-02-21,5614
2022-02-22,4406
2022-02-23,6663
2022-02-24,4986
2022-02-25,1337
2022-02-26,2018
2022-02-27,2959
2022-02-28,3546
2022-03-01,4266
2022-03-02,5260
2022-03-03,5246
2022-03-04,4563
2022-03-05,4571
2022-03-06,5707
2022-03-07,5390
2022-03-08,5724
2022-03-09,4452
2022-03-10,5492
2022-03-11,6868
2022-03-12,2757
2022-03-13,3039
2022-03-14,5312
2022-03-15,6759
2022-03-16,6679
2022-03-17,5650
2022-03-18,10860
2022-03-19,5298
2022-03-20,8340
2022-03-21,6588
2022-03-22,6632
2022-03-23,6456
2022-03-24,2911
2022-03-25,7610
2022-03-26,6899
2022-03-27,6737
2022-03-28,4813
2022-03-29,5253
2022-03-30,6688
2022-03-31,7870
2022-04-01,7341
2022-04-02,8606
2022-04-03,6992
2022-04-04,7423
2022-04-05,9414
2022-04-06,5922
2022-04-07,7642
2022-04-08,8731
2022-04-09,7900
2022-04-10,8338
2022-04-11,8997
2022-04-12,9480
2022-04-13,11419
2022-04-14,9176
2022-04-15,11502
2022-04-16,11604
2022-04-17,6303
2022-04-18,9577
2022-04-19,7596
2022-04-20,9718
2022-04-21,10112
2022-04-22,11342
2022-04-23,13518
2022-04-24,9583
2022-04-25,8432
2022-04-26,7605
2022-04-27,8596
2022-04-28,8812
2022-04-29,9111
2022-04-30,10234
2022-05-01,12235
2022-05-02,7519
2022-05-03,9247
2022-05-04,7285
2022-05-05,12345
2022-05-06,11054
2022-05-07,8854
2022-05-08,8244
2022-05-09,8722
2022-05-10,10123
2022-05-11,10829
2022-05-12,11072
2022-05-13,12112
2022-05-14,13696
2022-05-15,12514
2022-05-16,11077
2022-05-17,11110
2022-05-18,12235
2022-05-19,9388
2022-05-20,11380
2022-05-21,12536
2022-05-22,12814
2022-05-23,11461
2022-05-24,11775
2022-05-25,12082
2022-05-26,12578
2022-05-27,12636
2022-05-28,10719
2022-05-29,14364
2022-05-30,12264
2022-05-31,11687
2022-06-01,9281
2022-06-02,10436
2022-06-03,10128
2022-06-04,12676
2022-06-05,13218
2022-06-06,11651
2022-06-07,12842
2022-06-08,12158
2022-06-09,10637
2022-06-10,13251
2022-06-11,15329
2022-06-12,13691
2022-06-13,11935
2022-06-14,14386
2022-06-15,14329
2022-06-16,14635
2022-06-17,13842
2022-06-18,13834
2022-06-19,8965
2022-06-20,12460
2022-06-21,13950
2022-06-22,14029
2022-06-23,13767
2022-06-24,14431
2022-06-25,14641
2022-06-26,13258
2022-06-27,7501
2022-06-28,13244
2022-06-29,14144
2022-06-30,14455
2022-07-01,13019
2022-07-02,10459
2022-07-03,11061
2022-07-04,12583
2022-07-05,14071
2022-07-06,13332
2022-07-07,14513
2022-07-08,13917
2022-07-09,16194
2022-07-10,15568
2022-07-11,13363
2022-07-12,14022
2022-07-13,14023
2022-07-14,14265
2022-07-15,14694
2022-07-16,15672
2022-07-17,14529
2022-07-18,11014
2022-07-19,13732
2022-07-20,13948
2022-07-21,13588
2022-07-22,12999
2022-07-23,13179
2022-07-24,11882
2022-07-25,12018
2022-07-26,14310
2022-07-27,15386
2022-07-28,14669
2022-07-29,13700
2022-07-30,14716
2022-07-31,14120
2022-08-01,13546
2022-08-02,14152
2022-08-03,14657
2022-08-04,12949
2022-08-05,11674
2022-08-06,13088
2022-08-07,11722
2022-08-08,11358
2022-08-09,12684
2022-08-10,15420
2022-08-11,14939
2022-08-12,15100
2022-08-13,15555
2022-08-14,14584
2022-08-15,13972
2022-08-16,14549
2022-08-17,13076
2022-08-18,14285
2022-08-19,14480
2022-08-20,18128
2022-08-21,18022
2022-08-22,11476
2022-08-23,15083
2022-08-24,19075
2022-08-25,19908
2022-08-26,15333
2022-08-27,21179
2022-08-28,21550
2022-08-29,19359
2022-08-30,19676
2022-08-31,20151
2022-09-01,21965
2022-09-02,22157
2022-09-03,22758
2022-09-04,23548
2022-09-05,9493
2022-09-06,9690
2022-09-07,22156
2022-09-08,23025
2022-09-09,24902
2022-09-10,25959
2022-09-11,19641
2022-09-12,21673
2022-09-13,18640
2022-09-14,24482
2022-09-15,23404
2022-09-16,24622
2022-09-17,26303
2022-09-18,22274
2022-09-19,16587
2022-09-20,18330
2022-09-21,19680
2022-09-22,12184
2022-09-23,16881
2022-09-24,18517
2022-09-25,15229
2022-09-26,16399
2022-09-27,18382
2022-09-28,18515
2022-09-29,18405
2022-09-30,17954
2022-10-01,12918
2022-10-02,11956
2022-10-03,13156
2022-10-04,11207
2022-10-05,9889
2022-10-06,17423
2022-10-07,17812
2022-10-08,14427
2022-10-09,12304
2022-10-10,11328
2022-10-11,15011
2022-10-12,15945
2022-10-13,11533
2022-10-14,11923
2022-10-15,16936
2022-10-16,13891
2022-10-17,11137
2022-10-18,13948
2022-10-19,14077
2022-10-20,14093
2022-10-21,15648
2022-10-22,17882
2022-10-23,9820
2022-10-24,9422
2022-10-25,11178
2022-10-26,10456
2022-10-27,15054
2022-10-28,13246
2022-10-29,13789
2022-10-30,12411
2022-10-31,13038
2022-11-01,12504
2022-11-02,14046
2022-11-03,14170
2022-11-04,15247
2022-11-05,16919
2022-11-06,14248
2022-11-07,12985
2022-11-08,11892
2022-11-09,11873
2022-11-10,13511
2022-11-11,11183
2022-11-12,13805
2022-11-13,6718
2022-11-14,9125
2022-11-15,9615
2022-11-16,7084
2022-11-17,9846
2022-11-18,9407
2022-11-19,7815
2022-11-20,5029
2022-11-21,6701
2022-11-22,8022
2022-11-23,6750
2022-11-24,3543
2022-11-25,3906
2022-11-26,5267
2022-11-27,4059
2022-11-28,8214
2022-11-29,8412
2022-11-30,6285
2022-12-01,8046
2022-12-02,8567
2022-12-03,4995
2022-12-04,6252
2022-12-05,7814
2022-12-06,8247
2022-12-07,5995
2022-12-08,8650
2022-12-09,7502
2022-12-10,5617
2022-12-11,3322
2022-12-12,4578
2022-12-13,6203
2022-12-14,5595
2022-12-15,5580
2022-12-16,1686
2022-12-17,4265
2022-12-18,3811
2022-12-19,4637
2022-12-20,4650
2022-12-21,4329
2022-12-22,3474
2022-12-23,1170
2022-12-24,923
2022-12-25,620
2022-12-26,1407
2022-12-27,2090
2022-12-28,2343
2022-12-29,3283
2022-12-30,4188
2022-12-31,2194
2023-01-01,3098
2023-01-02,3404
2023-01-03,2519
2023-01-04,4695
2023-01-05,4070
2023-01-06,2595
2023-01-07,3764
2023-01-08,3437
2023-01-09,5093
2023-01-10,5889
2023-01-11,5288
2023-01-12,4693
2023-01-13,5150
2023-01-14,2902
2023-01-15,2730
2023-01-16,1960
2023-01-17,5614
2023-01-18,6488
2023-01-19,4795
2023-01-20,3382
2023-01-21,4260
2023-01-22,3575
2023-01-23,2380
2023-01-24,5009
2023-01-25,5421
2023-01-26,6128
2023-01-27,6154
2023-01-28,6494
2023-01-29,5708
2023-01-30,6781
2023-01-31,5966
2023-02-01,5875
2023-02-02,5812
2023-02-03,2232
2023-02-04,1099
2023-02-05,4637
2023-02-06,6564
2023-02-07,6201
2023-02-08,7362
2023-02-09,7131
2023-02-10,7837
2023-02-11,5949
2023-02-12,6090
2023-02-13,6298
2023-02-14,7715
2023-02-15,7844
2023-02-16,8546
2023-02-17,5260
2023-02-18,5329
2023-02-19,5649
2023-02-20,7128
2023-02-21,4983
2023-02-22,6605
2023-02-23,2057
2023-02-24,3790
2023-02-25,2302
2023-02-26,3466
2023-02-27,5463
2023-02-28,2718
2023-03-01,6791
2023-03-02,5637
2023-03-03,6783
2023-03-04,2330
2023-03-05,5277
2023-03-06,6449
2023-03-07,6013
2023-03-08,6549
2023-03-09,7148
2023-03-10,7111
2023-03-11,4230
2023-03-12,5642
2023-03-13,5204
2023-03-14,1169
2023-03-15,5800
2023-03-16,7125
2023-03-17,7718
2023-03-18,8034
2023-03-19,4803
2023-03-20,6909
2023-03-21,8783
2023-03-22,8429
2023-03-23,8581
2023-03-24,8508
2023-03-25,4370
2023-03-26,7211
2023-03-27,7227
2023-03-28,6229
2023-03-29,8203
2023-03-30,7087
2023-03-31,6292
2023-04-01,5825
2023-04-02,6944
2023-04-03,8475
2023-04-04,10275
2023-04-05,7871
2023-04-06,9353
2023-04-07,8654
2023-04-08,9072
2023-04-09,7333
2023-04-10,9898
2023-04-11,11920
2023-04-12,12159
2023-04-13,13862
2023-04-14,15904
2023-04-15,13390
2023-04-16,9805
2023-04-17,7897
2023-04-18,11099
2023-04-19,9879
2023-04-20,11948
2023-04-21,11009
2023-04-22,9054
2023-04-23,3102
2023-04-24,9520
2023-04-25,10931
2023-04-26,11043
2023-04-27,9911
2023-04-28,12211
2023-04-29,8752
2023-04-30,3365
2023-05-01,11673
2023-05-02,8368
2023-05-03,10570
2023-05-04,9400
2023-05-05,10803
2023-05-06,14215
2023-05-07,14897
2023-05-08,12122
2023-05-09,12589
2023-05-10,13575
2023-05-11,13643
2023-05-12,14244
2023-05-13,14600
2023-05-14,12502
2023-05-15,12033
2023-05-16,13234
2023-05-17,11894
2023-05-18,12273
2023-05-19,12416
2023-05-20,4538
2023-05-21,14733
2023-05-22,11452
2023-05-23,12904
2023-05-24,11534
2023-05-25,12976
2023-05-26,12608
2023-05-27,12180
2023-05-28,14030
2023-05-29,11047
2023-05-30,12502
2023-05-31,13669
2023-06-01,13693
2023-06-02,10243
2023-06-03,6268
2023-06-04,5952
2023-06-05,8217
2023-06-06,12853
2023-06-07,12541
2023-06-08,12720
2023-06-09,10227
2023-06-10,10284
2023-06-11,13069
2023-06-12,12711
2023-06-13,13048
2023-06-14,12629
2023-06-15,14863
2023-06-16,14113
2023-06-17,4340
2023-06-18,10186
2023-06-19,11970
2023-06-20,13956
2023-06-21,15295
2023-06-22,14972
2023-06-23,14550
2023-06-24,11110
2023-06-25,12642
2023-06-26,12488
2023-06-27,14009
2023-06-28,12480
2023-06-29,14824
2023-06-30,14086
2023-07-01,12220
2023-07-02,5736
2023-07-03,11146
2023-07-04,8924
2023-07-05,13612
2023-07-06,13616
2023-07-07,13240
2023-07-08,13321
2023-07-09,12525
2023-07-10,6771
2023-07-11,15141
2023-07-12,14815
2023-07-13,15638
2023-07-14,14199
2023-07-15,14944
2023-07-16,3996
2023-07-17,14347
2023-07-18,15328
2023-07-19,15957
2023-07-20,16732
2023-07-21,13391
2023-07-22,15513
2023-07-23,14161
2023-07-24,14464
2023-07-25,11150
2023-07-26,16853
2023-07-27,13148
2023-07-28,14646
2023-07-29,7816
2023-07-30,14613
2023-07-31,14542
2023-08-01,16636
2023-08-02,17142
2023-08-03,16262
2023-08-04,14521
2023-08-05,14982
2023-08-06,13792
2023-08-07,13213
2023-08-08,12745
2023-08-09,16068
2023-08-10,13262
2023-08-11,15272
2023-08-12,14426
2023-08-13,12093
2023-08-14,15411
2023-08-15,9740
2023-08-16,14769
2023-08-17,14734
2023-08-18,11704
2023-08-19,14048
2023-08-20,12606
2023-08-21,13022
2023-08-22,15141
2023-08-23,15270
2023-08-24,14639
2023-08-25,6947
2023-08-26,14407
2023-08-27,13186
2023-08-28,15150
2023-08-29,14560
2023-08-30,11956
2023-08-31,15135
2023-09-01,14348
2023-09-02,13331
2023-09-03,13687
2023-09-04,14005
2023-09-05,16096
2023-09-06,16343
2023-09-07,15953
2023-09-08,16229
2023-09-09,12795
2023-09-10,8994
2023-09-11,11837
2023-09-12,15551
2023-09-13,11635
2023-09-14,18959
2023-09-15,17211
2023-09-16,12420
2023-09-17,16059
2023-09-18,4208
2023-09-19,15376
2023-09-20,17151
2023-09-21,17478
2023-09-22,17661
2023-09-23,9174
2023-09-24,8123
2023-09-25,8769
2023-09-26,15025
2023-09-27,15893
2023-09-28,16244
2023-09-29,9006
2023-09-30,12712
2023-10-01,13767
2023-10-02,14868
2023-10-03,16758
2023-10-04,16978
2023-10-05,16918
2023-10-06,16221
2023-10-07,10403
2023-10-08,13610
2023-10-09,12889
2023-10-10,15196
2023-10-11,15904
2023-10-12,15839
2023-10-13,14808
2023-10-14,12943
2023-10-15,11564
2023-10-16,11103
2023-10-17,13756
2023-10-18,14901
2023-10-19,16029
2023-10-20,14942
2023-10-21,5951
2023-10-22,12762
2023-10-23,13251
2023-10-24,14740
2023-10-25,15211
2023-10-26,16276
2023-10-27,17165
2023-10-28,17651
2023-10-29,6785
2023-10-30,6211
2023-10-31,12615
2023-11-01,11160
2023-11-02,11538
2023-11-03,12173
2023-11-04,12004
2023-11-05,11840
2023-11-06,10615
2023-11-07,11945
2023-11-08,10558
2023-11-09,7708
2023-11-10,9947
2023-11-11,8980
2023-11-12,7210
2023-11-13,8757
2023-11-14,10244
2023-11-15,10569
2023-11-16,12103
2023-11-17,12013
2023-11-18,7181
2023-11-19,7397
2023-11-20,7658
2023-11-21,7729
2023-11-22,3571
2023-11-23,3552
2023-11-24,4449
2023-11-25,4029
2023-11-26,4879
2023-11-27,8839
2023-11-28,8701
2023-11-29,8354
2023-11-30,9672
2023-12-01,8724
2023-12-02,8876
2023-12-03,2680
2023-12-04,8621
2023-12-05,8724
2023-12-06,7479
2023-12-07,7068
2023-12-08,7422
2023-12-09,7686
2023-12-10,4566
2023-12-11,5661
2023-12-12,8145
2023-12-13,7909
2023-12-14,7347
2023-12-15,7945
2023-12-16,6762
2023-12-17,4373
2023-12-18,2565
2023-12-19,6628
2023-12-20,6272
2023-12-21,4888
2023-12-22,3699
2023-12-23,2822
2023-12-24,1871
2023-12-25,1754
2023-12-26,2895
2023-12-27,3320
2023-12-28,1284
2023-12-29,2770
2023-12-30,1948
2023-12-31,3010
2024-01-01,2577
2024-01-02,4443
2024-01-03,5584
2024-01-04,5733
2024-01-05,4537
2024-01-06,4151
2024-01-07,660
2024-01-08,3871
2024-01-09,4862
2024-01-10,7211
2024-01-11,7880
2024-01-12,7758
2024-01-13,5296
2024-01-14,4314
2024-01-15,4526
2024-01-16,2826
2024-01-17,4819
2024-01-18,5589
2024-01-19,5159
2024-01-20,2785
2024-01-21,3006
2024-01-22,5854
2024-01-23,7657
2024-01-24,6066
2024-01-25,8957
2024-01-26,5620
2024-01-27,7039
2024-01-28,2626
2024-01-29,6487
2024-01-30,7252
2024-01-31,7732
2024-02-01,8413
2024-02-02,7923
2024-02-03,6493
2024-02-04,5853
2024-02-05,7895
2024-02-06,8583
2024-02-07,9036
2024-02-08,9372
2024-02-09,9365
2024-02-10,10063
2024-02-11,7485
2024-02-12,9243
2024-02-13,3619
2024-02-14,8135
2024-02-15,8454
